feature_id	feature_family	n_expression_units	n_study_families	median_coverage	leave_family_out_median_spearman	leave_family_out_ci_low	leave_family_out_ci_high	matched_null_ci_high	observed_coherence_ci_low	matched_null_permutation_high	observed_coherence_stability_low	technical_status	D2_class	D2_reason	n_patient_timepoints_x	abundance_equal_state_spearman	carrier_dependency_status	n_matched_contexts	n_ambient_units	n_reference_units	ambient_minus_other_median_native	ambient_minus_other_median_z	ambient_metric_scale	ambient_interpretation	ambient_status	n_patient_timepoints_y	n_cohorts	n_platforms	cohort_eta_squared	cohort_status	platform_eta_squared	platform_status	tissue_eta_squared_context_only	library_size_spearman	n_cells_spearman	residualization	status	method_agreement_median_spearman	method_agreement_ci_low	method_agreement_ci_high	method_agreement_status	technical_panel_median_spearman	technical_panel_ci_low	technical_panel_ci_high	n_technical_panel_comparisons	n_negative_technical_panel_comparisons	technical_panel_status	n_components	n_measurable_components	evidence_modality	D2_scope
mechanism__angiogenesis_endothelial__reactome_vegf	mechanism_component	32821	39	1.0	0.7414731504007909	0.6190476190476191	0.7857142857142858	0.9708455583674759	0.840531504059101	0.9708455583674759	0.840531504059101	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.6709709845981853	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	0.04692961297418874		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.5927396005202203	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.0438375920980203	0.47112069287179625	0.48183280017581764	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8624493018991157	0.8322218145287582	0.8899032847740584	PASS	0.46887062284292047	0.07672993703195044	0.6506432258924557	6.0	1.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__curated_antigen_presentation	mechanism_component	32821	39	1.0	0.8224974200206397	0.7157687478535633	0.875187969924812	0.8310715559010388	0.8818401769171874	0.8310715559010388	0.8818401769171874	valid	measurable	positive_study_family_outer_stability_with_technical_route_concordance_and_null_separation	3752.0	0.8320735565550695	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.510085392779926		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.6862731165224882	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.0729241266869403	0.22635114350097188	0.24091426880669795	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.9705444491312016	0.9637773079633545	0.9785390604243762	PASS	0.8881201962495198	0.7502238050517739	0.9174369910494915	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__curated_apc_dc_activation	mechanism_component	32821	39	1.0	0.7857142857142857	0.6347419188140273	0.8578492227535782	0.7015244533455056	0.4630495685962923	0.7015244533455056	0.4630495685962923	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.7843445264605389	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	0.07610279599603187		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.6857678065912054	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.0661444368380224	0.376301635892774	0.3664207290072686	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8231217891222542	0.7869315903229279	0.869920440221447	PASS	0.717852427266441	0.4762832201095242	0.8518293821837972	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__curated_ifn_response	mechanism_component	32821	39	1.0	0.5720642943665073	0.37126414119311024	0.6428571428571429	0.5924391636251499	-0.5329685928667072	0.5924391636251499	-0.5329685928667072	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.952845901880038	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.15742198066217994		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.40215385544846066	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.17042959263236582	-0.0034382697753999477	-0.048692462745013085	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.864110653721694	0.8465288056836008	0.8886281341903884	PASS	0.790026824359594	0.7545493971827371	0.8449022699390285	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__hallmark_ifn_alpha	mechanism_component	32821	39	1.0	0.6551298098838567	0.5609093326660242	0.7703309599688513	0.9739397023325951	0.8803603000052603	0.9739397023325951	0.8803603000052603	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.8213514814225825	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.039173489579087395		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.36763708208555274	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.05579487312289081	0.42203428367678153	0.42137436676332807	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8842105263157893	0.8597593833240257	0.9098495128916615	PASS	0.5979700088878099	0.47514148004899354	0.7661787744223967	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__hallmark_ifn_gamma	mechanism_component	32821	39	0.99	0.7498765127719997	0.6347434655452883	0.7856613342682629	0.9849692279817882	0.8918227233674466	0.9849692279817882	0.8918227233674466	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.7877857126970428	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.044984572164830094		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.43845073330717366	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.053948471977482676	0.4405050225830635	0.44886650791118776	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8865677581912796	0.8752759605452375	0.9019690249206154	PASS	0.5392054222855237	0.39218950014252024	0.6921522029110035	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	mechanism_component	32821	39	0.9871794871794872	0.6403162055335968	0.5966860947240802	0.6868131868131868					valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.893218044571939	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.021935668884367043		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.5481548465360991	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.12675938396241845	0.29724128664623195	0.2952294933299367	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8634994088989444	0.8330827067669171	0.8912313084626489	PASS	0.5086676867914218	0.3166569925630328	0.7285844045078592	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__reactome_ifn_gamma	mechanism_component	32821	39	0.9591836734693877	0.7769607843137256	0.6464285714285712	0.8296703296703297	0.9611743849979837	0.7919344436197012	0.9611743849979837	0.7919344436197012	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.7856448234259319	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.07456158144473246		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.5068695398161597	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.05855526456387061	0.4185923266813128	0.4200985606862694	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8750915750915751	0.8593856096430439	0.893700112838404	PASS	0.6450036867696719	0.4711257158404809	0.7575351283721727	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__reactome_mhc_i	mechanism_component	32821	39	0.9973190348525469	0.6900643453063359	0.6190476190476191	0.7678571428571428					valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.6917385312795841	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	0.01911353899283874		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.45995537043801205	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.052484099842481244	0.5128897415052758	0.5198667584648731	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.7876334174818486	0.7754123061021297	0.8137855612086006	PASS	0.2005914451812523	-0.1449952649206739	0.7200527260998242	6.0	1.0	MIXED_OR_NOT_TESTABLE			scRNA	scRNA_measurement_only
mechanism__apc_ifn_apm__reactome_mhc_ii	mechanism_component	32821	39	0.9761904761904762	0.7873918658415409	0.625974025974026	0.8304079363773111					valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.7184582093907098	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.08480894132740913		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.5916158840253782	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.071423292071491	0.44581564639412163	0.42904296688911336	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.7846776525007227	0.7449943426647719	0.8232915888645624	PASS	0.7020456827979473	0.5263163395689182	0.7215390560812334	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__caf_ecm__curated_stromal_tgfb	mechanism_component	32821	39	1.0	0.8333333333333335	0.7859615394248384	0.8792207792207792	0.7218399504374713	0.4455139482281981	0.7218399504374713	0.4455139482281981	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.8725272263009152	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.051304549313051284		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.735941832965058	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.12187967692506467	0.2758050537813753	0.28182495915743994	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8955799311430207	0.8211894448931865	0.9295363486234743	PASS	0.7824378515531563	0.6384875614805267	0.9002185963467612	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__caf_ecm__hallmark_emt	mechanism_component	32821	39	1.0	0.8206394398998405	0.7556878078466213	0.8672435370085166					valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.8765631722419384	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	0.03345679876628349		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.7522344005416216	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.12495996972387916	0.35393554323191995	0.3389702819962308	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8601489350915336	0.7933105986411264	0.8945766695121689	PASS	0.7704659884722342	0.6300111029612298	0.8625756341116778	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
