input_id	normalized_id	resolved_symbol	mapping_source	mapping_status	candidates	n_objects	n_cohorts
ENSG00000227589	ENSG00000227589	TP73-AS3	gencode_v49	resolved	TP73-AS3	0	0
ENSG00000227591	ENSG00000227591	HSD11B1-AS1	gencode_v49	resolved	HSD11B1-AS1	0	0
ENSG00000227598	ENSG00000227598	ENSG00000227598	gencode_v49	resolved	ENSG00000227598	0	0
ENSG00000227599	ENSG00000227599	PTPRT-AS1	gencode_v49	resolved	PTPRT-AS1	0	0
ENSG00000227602	ENSG00000227602	ENSG00000227602	gencode_v49	resolved	ENSG00000227602	0	0
ENSG00000227606	ENSG00000227606	ENSG00000227606	gencode_v49	resolved	ENSG00000227606	0	0
ENSG00000227610	ENSG00000227610	FRMPD3-AS1	gencode_v49	resolved	FRMPD3-AS1	0	0
ENSG00000227611	ENSG00000227611	LINC01074	gencode_v49	resolved	LINC01074	0	0
ENSG00000227615.1	ENSG00000227615	ENSG00000227615	gencode_v49	resolved	ENSG00000227615	1	1
ENSG00000227617	ENSG00000227617	CERS6-AS1	gencode_v49	resolved	CERS6-AS1	0	0
ENSG00000227619	ENSG00000227619	ENSG00000227619	gencode_v49	resolved	ENSG00000227619	0	0
ENSG00000227621.1	ENSG00000227621	PHB1P11	gencode_v49	resolved	PHB1P11	1	1
ENSG00000227624.2	ENSG00000227624	SNRPEP3	gencode_v49	resolved	SNRPEP3	1	1
ENSG00000227627	ENSG00000227627	ENSG00000227627	gencode_v49	resolved	ENSG00000227627	0	0
ENSG00000227630	ENSG00000227630	LINC01132	gencode_v49	resolved	LINC01132	0	0
ENSG00000227634	ENSG00000227634	LINC01714	gencode_v49	resolved	LINC01714	0	0
ENSG00000227638.2	ENSG00000227638	HNRNPA1P14	gencode_v49	resolved	HNRNPA1P14	1	1
ENSG00000227640	ENSG00000227640	SOX21-AS1	gencode_v49	resolved	SOX21-AS1	0	0
ENSG00000227645.2	ENSG00000227645	RPL7P54	gencode_v49	resolved	RPL7P54	1	1
ENSG00000227646	ENSG00000227646	STEAP2-AS1	gencode_v49	resolved	STEAP2-AS1	0	0
ENSG00000227649.1	ENSG00000227649	MTND6P32	gencode_v49	resolved	MTND6P32	1	1
ENSG00000227658	ENSG00000227658	ENSG00000227658	gencode_v49	resolved	ENSG00000227658	0	0
ENSG00000227659	ENSG00000227659	CLYBL-AS2	gencode_v49	resolved	CLYBL-AS2	0	0
ENSG00000227660	ENSG00000227660	UST-AS1	gencode_v49	resolved	UST-AS1	0	0
ENSG00000227671.4	ENSG00000227671	ZNF731P	gencode_v49	resolved	ZNF731P	1	1
ENSG00000227673	ENSG00000227673	ENSG00000227673	gencode_v49	resolved	ENSG00000227673	0	0
ENSG00000227674	ENSG00000227674	LINC00355	gencode_v49	resolved	LINC00355	0	0
