feature_id	heldout_study_family	n_shared_states	state_profile_spearman	diagnostic_status
FM06	GSE273718	8	0.4761904761904762	PASS
FM06	GSE284205	23	0.8541770692617109	PASS
FM06	GSE286827	23	0.963915095521028	PASS
FM06	GSE288199	8	0.6904761904761906	PASS
FM06	GSE301741	13	0.5989010989010989	PASS
FM06	LAMBRECHT_BRCA	20	0.8792779862128545	PASS
FM06	LAMBRECHT_HCC	23	0.6969847613767433	PASS
FM06	PRJCA001063	14	0.9296703296703297	PASS
FM06	TASK01	23	0.9105290286921711	PASS
FM06	TASK02	23	0.9026199817545626	PASS
FM06	bi_2021_rcc	17	0.8410081787777675	PASS
FM06	krishna_2021_rcc	8	0.9523809523809524	PASS
FM06	lambrecht_hnscc	23	0.8952569169960475	PASS
FM06	mendeley_skrx2fz79n	4	0.316227766016838	PASS
FM07	GSE115978	23	0.8788928409417374	PASS
FM07	GSE123813	23	0.8794466403162056	PASS
FM07	GSE140228	21	0.9701298701298702	PASS
FM07	GSE149614	10	0.5714312110592608	PASS
FM07	GSE151530	23	0.9159664984617769	PASS
FM07	GSE161801	8	0.8571428571428572	PASS
FM07	GSE169246	23	0.9416709010090043	PASS
FM07	GSE176021	13	0.6813186813186813	PASS
FM07	GSE179994	4	0.39999999999999997	PASS
FM07	GSE189903	23	0.8764212637737347	PASS
FM07	GSE200996	3	-0.5	PASS
FM07	GSE205506	23	0.9154721830281765	PASS
FM07	GSE206325	8	0.9285714285714287	PASS
FM07	GSE207422_sc	8	0.9047619047619048	PASS
FM07	GSE225063	8	0.14285714285714288	PASS
FM07	GSE232240	13	0.8571428571428571	PASS
FM07	GSE235863_5pt_cd8	2		NOT_TESTABLE
FM07	GSE235863_9pt_cd45	17	0.9681372549019608	PASS
FM07	GSE243013	15	0.9749999999999999	PASS
FM07	GSE246613	10	0.8424242424242423	PASS
FM07	GSE249974	23	0.899159773719359	PASS
FM07	GSE266919	18	0.9318885448916409	PASS
FM07	GSE272734	2		NOT_TESTABLE
FM07	GSE272735	8	0.7142857142857144	PASS
FM07	GSE272993	8	0.1666666666666667	PASS
FM07	GSE273718	8	0.5952380952380953	PASS
FM07	GSE284205	23	0.9045972434889649	PASS
FM07	GSE286827	23	0.953534471415417	PASS
FM07	GSE288199	8	0.523809523809524	PASS
FM07	GSE301741	13	0.9230769230769231	PASS
FM07	LAMBRECHT_BRCA	20	0.8481203007518796	PASS
FM07	LAMBRECHT_HCC	23	0.46811671561969925	PASS
FM07	PRJCA001063	14	0.9384615384615385	PASS
FM07	TASK01	23	0.8210579352104755	PASS
FM07	TASK02	23	0.782995646823235	PASS
FM07	bi_2021_rcc	17	0.7427882454898529	PASS
FM07	krishna_2021_rcc	8	0.9761904761904763	PASS
FM07	lambrecht_hnscc	23	0.9488510297081643	PASS
FM07	mendeley_skrx2fz79n	4	0.9486832980505139	PASS
FM08	GSE115978	23	0.8929542918115057	PASS
FM08	GSE123813	23	0.9021739130434783	PASS
FM08	GSE140228	21	0.8574212858840459	PASS
FM08	GSE149614	10	0.9240164263936983	PASS
FM08	GSE151530	23	0.9646477427044562	PASS
FM08	GSE161801	8	0.8095238095238096	PASS
FM08	GSE169246	23	0.6328801182274238	PASS
FM08	GSE176021	13	0.945054945054945	PASS
FM08	GSE179994	4	-0.39999999999999997	PASS
FM08	GSE189903	23	0.7721207072840234	PASS
FM08	GSE200996	3	1.0	PASS
FM08	GSE205506	23	0.8385661566513366	PASS
FM08	GSE206325	8	0.8333333333333335	PASS
FM08	GSE207422_sc	8	0.9047619047619048	PASS
FM08	GSE225063	8	0.7619047619047621	PASS
FM08	GSE232240	13	0.9560439560439561	PASS
FM08	GSE235863_5pt_cd8	2		NOT_TESTABLE
FM08	GSE235863_9pt_cd45	17	0.9233600754541103	PASS
FM08	GSE243013	15	0.907142857142857	PASS
FM08	GSE246613	10	0.9393939393939393	PASS
FM08	GSE249974	23	0.5981216746566379	PASS
FM08	GSE266919	18	0.8910687816275723	PASS
FM08	GSE272734	2		NOT_TESTABLE
FM08	GSE272735	8	0.6428571428571429	PASS
FM08	GSE272993	8	0.6190476190476191	PASS
FM08	GSE273718	8	0.4285714285714286	PASS
FM08	GSE284205	23	0.8266996544345723	PASS
FM08	GSE286827	23	0.9804697456601418	PASS
FM08	GSE288199	8	0.6428571428571429	PASS
FM08	GSE301741	13	0.9505494505494506	PASS
FM08	LAMBRECHT_BRCA	20	0.9059443190368697	PASS
FM08	LAMBRECHT_HCC	23	0.8986654582857584	PASS
FM08	PRJCA001063	14	0.7626373626373627	PASS
FM08	TASK01	23	0.944870239009849	PASS
FM08	TASK02	23	0.9488257397487706	PASS
FM08	bi_2021_rcc	17	0.8790684029268343	PASS
FM08	krishna_2021_rcc	8	0.6666666666666669	PASS
FM08	lambrecht_hnscc	23	0.9014084782227558	PASS
FM08	mendeley_skrx2fz79n	4	0.9486832980505139	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE115978	23	0.4513099908772813	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE123813	23	0.5707223365543199	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE140228	21	0.5272727272727272	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE149614	10	0.8909090909090909	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE151530	23	0.8437964451560999	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE161801	8	0.8571428571428572	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE169246	23	0.7340584188967828	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE176021	13	0.42857142857142855	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE179994	4	1.0	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE189903	23	0.8798814718089384	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE200996	3	-0.5	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE205506	23	0.680672352067926	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE206325	8	0.9761904761904763	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE207422_sc	8	0.9523809523809524	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE225063	8	0.11904761904761905	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE232240	13	0.7950488951876541	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE235863_5pt_cd8	2		NOT_TESTABLE
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE235863_9pt_cd45	17	0.8602941176470589	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE243013	15	0.9357142857142854	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE246613	10	0.8909090909090909	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE249974	23	0.717251694154365	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE266919	18	0.8885448916408669	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE272734	2		NOT_TESTABLE
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE272735	8	0.3333333333333334	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE272993	8	-0.11904761904761905	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE273718	8	0.6666666666666669	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE284205	23	0.8808701026761394	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE286827	23	0.8833416798441421	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE288199	8	0.523809523809524	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	GSE301741	13	0.9615384615384615	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	LAMBRECHT_BRCA	20	0.8702520359694378	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	LAMBRECHT_HCC	23	0.2624814952418799	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	PRJCA001063	14	0.5692307692307692	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	TASK01	23	0.8403362371208962	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	TASK02	23	0.8156204654408697	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	bi_2021_rcc	17	0.7550657371508422	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	krishna_2021_rcc	8	0.8333333333333335	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	lambrecht_hnscc	23	0.7521621183415761	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	mendeley_skrx2fz79n	4	0.9486832980505139	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE115978	23	0.7243510728149811	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE123813	23	0.733201581027668	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE140228	21	0.8275414531941473	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE149614	10	0.8206724839680872	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE151530	23	0.9092707323595565	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE161801	8	0.7619047619047621	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE169246	23	0.7103312780839576	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE176021	13	0.5254475397260966	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE179994	4	-0.39999999999999997	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE189903	23	0.8640633779337215	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE200996	3	-0.5	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE205506	23	0.8882848341801474	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE206325	8	0.5000000000000001	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE207422_sc	8	0.9761904761904763	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE225063	8	-0.30952380952380953	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE232240	13	0.7307692307692307	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE235863_5pt_cd8	2		NOT_TESTABLE
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE235863_9pt_cd45	17	0.9576948458561223	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE243013	15	0.8571428571428571	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE246613	10	0.9636363636363635	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE249974	23	0.7124845705982169	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE266919	18	0.9685081311317065	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE272734	2		NOT_TESTABLE
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE272735	8	0.11904761904761905	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE272993	8	-0.3571428571428572	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE273718	8	0.3571428571428572	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE284205	23	0.8726823505245336	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE286827	23	0.8912507267817504	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE288199	8	0.11904761904761905	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	GSE301741	13	0.9050902647638	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	LAMBRECHT_BRCA	20	0.8736842105263156	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	LAMBRECHT_HCC	23	0.39110013556085327	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	PRJCA001063	14	0.767032967032967	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	TASK01	23	0.8877905187465468	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	TASK02	23	0.8393476062536952	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	bi_2021_rcc	17	0.9404558612317807	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	krishna_2021_rcc	8	0.8095238095238096	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	lambrecht_hnscc	23	0.7694588819039645	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	mendeley_skrx2fz79n	4	0.9486832980505139	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE115978	23	0.37518541410280015	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE123813	23	0.5503952569169961	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE140228	21	0.7090909090909091	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE149614	10	0.8303030303030302	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE151530	23	0.8454882829444491	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE161801	8	0.9047619047619048	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE169246	23	0.7780524924872297	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE176021	13	0.7857142857142857	PASS
