feature_id	score_standardized	coverage	technical_status	patient_id	pair_id	modality	match_status	bridge_role	sc_timepoint	bulk_timepoint
mechanism__apc_ifn_apm__curated_ifn_response	-0.6744907594765952	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__hallmark_ifn_alpha	-0.1369065224461417	0.979381443298969	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__hallmark_ifn_alpha	-1.0193804477961101	0.9896907216494846	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__hallmark_ifn_gamma	-0.16081865923176566	0.98	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__hallmark_ifn_gamma	-1.6649581079754374	0.98	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	0.013433047636269452	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	-0.6471427181801215	0.8205128205128205	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_ifn_gamma	0.0005033313919865636	0.9693877551020408	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_ifn_gamma	-1.7549050239092165	0.9489795918367347	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_mhc_i	-0.009182580872140316	0.9785522788203753	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_mhc_i	-1.921843045691307	0.9544235924932976	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_mhc_ii	-1.6154530337198314	0.9761904761904762	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_mhc_ii	-1.2794002419027952	0.9047619047619048	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__caf_ecm__curated_stromal_tgfb	-2.12410402709472	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__caf_ecm__curated_stromal_tgfb	0.9615781766573398	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__caf_ecm__hallmark_emt	-1.6912607629266412	0.985	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__caf_ecm__hallmark_emt	1.9353346651774102	0.96	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__caf_ecm__reactome_ecm	-1.6533242236620143	0.9968847352024922	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__caf_ecm__reactome_ecm	1.5368617704612988	0.9158878504672897	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__cytotoxic_t_nk__curated_cytotoxicity	0.6055741298301711	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__cytotoxic_t_nk__curated_cytotoxicity	-1.8057351847998833	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	1.1044968935957193	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	-2.5037178017681385	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	1.632191124304567	0.975	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	-4.383127886975869	0.945	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__exhaustion__curated_broad_exhaustion	0.116988460760611	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__exhaustion__curated_broad_exhaustion	-0.037912021439450716	0.8888888888888888	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__exhaustion__sentinel_progenitor_exhaustion	3.8071143695167424	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__exhaustion__sentinel_progenitor_exhaustion	-1.5193877877653033	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__exhaustion__sentinel_terminal_exhaustion	0.3311879528491069	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__exhaustion__sentinel_terminal_exhaustion	-1.6081073909265193	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__hypoxia__curated_hypoxia	-1.3951173292935979	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__hypoxia__curated_hypoxia	1.078477619299983	0.8571428571428571	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__hypoxia__hallmark_hypoxia	-1.2808352427029943	0.955	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__hypoxia__hallmark_hypoxia	0.637025920688751	0.935	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	-0.30591760028835985	0.9728033472803347	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	-2.0714040779372977	0.9309623430962343	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	2.149007416575525	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	-1.8718569599632848	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__suppressive_myeloid__curated_myeloid_suppression	-1.5867897782107763	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__suppressive_myeloid__curated_myeloid_suppression	0.5663116480100695	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__tls_b__reactome_bcr	-0.08623847657967872	0.9934640522875817	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__tls_b__reactome_bcr	-2.0304572666351537	0.8169934640522876	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__tls_b__sentinel_tls_b	1.9032601733736236	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__tls_b__sentinel_tls_b	-2.6258234082260836	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	-0.12613121365599675	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	0.6110900018788382	0.9523809523809523	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__wnt_beta_catenin__reactome_wnt	-0.08539088949496923	0.804416403785489	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__wnt_beta_catenin__reactome_wnt	1.1404967474983274	0.7539432176656151	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	-0.06252347493057119	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	2.5027009795282167	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM01	-0.03372617645958374	0.972884450159531	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM01	2.1370407596839534	0.9973615437634381	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM02	0.45535642033543744	0.9843036096482848	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM02	-1.1265524431177876	0.9946930748951964	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM03	0.680807289947253	0.9863008045234009	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM03	-1.2883433289998047	0.995549423805165	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM04	1.1344826149606317	0.9832873864084688	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM04	0.4946341963860512	0.9923088759068495	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM05	-1.1944659503311044	0.9771386352241985	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM05	-0.6744907594765952	0.9896554534128976	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM06	0.4224700260078242	0.7902585387426505	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM06	2.5274077466169063	0.952140977117625	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM07	1.536082322687985	0.9951794005217456	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM07	-0.6438499585815346	0.872438483518863	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM08	-0.4587062380008953	0.9658477087662072	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM08	-0.7018635545577255	0.9646975968797881	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__curated_angiogenesis	0.8057348887965069	1.0	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__curated_angiogenesis	3.6939977672310773	1.0	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	1.0788199333108892	1.0	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	3.4537771763984306	0.9166666666666666	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__reactome_vegf	1.1737267836669523	0.9905660377358491	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__reactome_vegf	1.366924201068402	0.9716981132075472	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_antigen_presentation	0.6484262117320105	1.0	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_antigen_presentation	-1.2102389793964594	1.0	valid	P08	P08	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_apc_dc_activation	1.6303681764179256	1.0	valid	P08	P08	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
