group,is_load,is_preqc,id,resource,data_type,protocal,data_format,only_normd,celltype,organ,tissue,disease,num_patient,num_cell,loc_or_mta,treatment,prior_treatment,timepoint,tp_paired,has_os_pfs,has_outcome,is_annoed,if_qc,num_perturb_target,citiation,
imm,,,GSE149614,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149614,scRNA,10x,txt,F,whole,liver,tumor/adj/mln,hcc,10,70k,loc/meta,none,none,pre,none,none,none,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9357016,
imm,,,GSE179994,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179994,scRNA/scTCR,10x,txt,F,T,lung,tumor,nsclc,36,135k,loc/meta,none/PD1+PT+PTX,none,pre/post,paired,none,RECIST,T,,,https://www.nature.com/articles/s43018-021-00292-8,
imm,,,GSE179994,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179994,bulkTCR,,txt,F,none,lung,pbmc,nsclc,4,none,loc,PD1+PT+PTX,none,pre/post,paired,none,RECIST,none,,,https://www.nature.com/articles/s43018-021-00292-8,
imm,,,GSE243013,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243013,scRNA/scTCR,10x,txt,F,CD45+,lung,tumor,nsclc,234,1254K,loc,PD1/PD1+PT+PTX,none,post,none,rfs,patho,T,,,https://www.cell.com/cell/fulltext/S0092-8674(25)00291-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867425002910%3Fshowall%3Dtrue#fig7,
imm,,,IMvigor210,http://research-pub.gene.com/IMvigor210CoreBiologies/,bulkRNA,,rdata,F,none,unknown,tumor,metastatic urothelial cancer,200,none,meta,PD1/PD1+PT,none,pre,none,os,RECIST,none,,,https://www.nature.com/articles/nature25501,"scTCR unreleased, data uncomplete"
combo,,,lambrecht_hnscc,https://lambrechtslab.sites.vib.be/en/hnscc,scRNA,10x,txt,F,whole,unknown,tumor/adj/tdln/pbmc,hnscc,20,70k,meta,PD1/PD1+CTLA4,none,pre/post,paired,none,MRI,T,,,https://www.cell.com/immunity/fulltext/S1074-7613(24)00083-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1074761324000839%3Fshowall%3Dtrue,
combo,,,lambrecht_brca,https://lambrechtslab.sites.vib.be/en/single-cell,scRNA/scTCR,10X,rds/txt,F,whole,breat,tumor,tnbc,40,225k,loc,PD1/PD1+chemo,none,pre/post,paired,none,Expansion,T,,,https://www.nature.com/articles/s41591-021-01323-8#MOESM1,
combo,,,lambrecht_hcc,https://lambrechtslab.sites.vib.be/en/aHCC,scRNA,10x,txt,F,whole,liver,tumor,hcc,38,97k,loc,PD1+VEGF/PD1+TKI/PD1/TKI,none,pre,none,pfs,RECIST,T,,,https://www.nature.com/articles/s41467-023-43381-1#Sec31,
combo,,,lambrecht_hcc,https://lambrechtslab.sites.vib.be/en/aHCC,scRNA,10x,txt,F,whole,pbmc,tumor,hcc,38,268k,loc,PD1+VEGF/PD1+TKI/PD1/TKI,none,pre/post,paired,pfs,RECIST,T,,,https://www.nature.com/articles/s41467-023-43381-1#Sec31,
combo,,,GSE272993,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272993,scRNA/scTCR,10x,srt,F,non-na?ve CD8,pbmc,pbmc,melanoma,36,273k,loc,PD1/CTLA4/PD1+CTLA4,gamma/chemo/ICB,pre/multi-post,paired,none,clinical,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11387127,
combo,,,IMbrave150,inhouse,bulkRNA,,txt,T,none,liver,tumor,hcc,150,,loc,PD1+VEGF/TKI,none,pre,none,pfs/os,RECIST,none,,,inhouse,
imm,,,GSE272734,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272734,scRNA/scTCR,10x,txt,F,CD8,pbmc,pbmc,melanoma,4,83k,loc,PD1,none,pre/multi-post,paired,none,none,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11387127,
imm,,,GSE273718,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273718,scRNA,10x,txt,F,CD4+CD8/CD45,pbmc/skin,pbmc/tumor,melanoma,3,?,loc,none,none,pre,none,none,none,F,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11387127,
imm,,,GSE272735,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272735,scRNA/scTCR,10x,txt,F,CD8,pbmc,pbmc,health,2,?,loc,none,none,pre/post,paired,none,none,F,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11387127,
db,,,l1000,https://clue.io/data/CMap2020#LINCS2020,gctx,,gctx,,,,,,,,,,,,,,,,,,CMAP LINCS 2020,
lr_interaction,,,cellphonedb0-data,https://github.com/ventolab/cellphonedb-data,,,txt,,,,,,,,,,,,,,,,,,,
lr_interaction,,,OmnipathR,https://github.com/saezlab/OmnipathR,package,,,,,,,,,,,,,,,,,,,,,
lr_interaction,,,nichenetr,https://github.com/saeyslab/nichenetr,package,,,,,,,,,,,,,,,,,,,,,
norm,,,hca_cross_tissue_imm,https://explore.data.humancellatlas.org/projects/04e4292c-f62f-4098-ae9b-fd69ae002a90/project-matrices,scRNA/scTCR/scBCR,10x,h5ad,F,PTPRC expressed,multi,multi,health,12,330k,loc,none,none,pre,none,none,none,T,,,https://www.science.org/doi/10.1126/science.abl5197,
pathway,,,go-basic.obo,,,,,,,,,,,,,,,,,,,,,,,
pathway,,,go_bp_full.json,,,,,,,,,,,,,,,,,,,,,,,
pathway,,,hallmark,,,,,,,,,,,,,,,,,,,,,,,
perturb_seq,,,GSE90063,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063,scPerturb-CRISPR,,txt,F,bone-marrow derived dendritic cells(mm),,,,,70k,,,,,,,,,,24,https://pmc.ncbi.nlm.nih.gov/articles/PMC5181115/#SM,
perturb_seq,,,GSE90063,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063,scPerturb-CRISPR,,txt,F,K562,,,,,104K,,,,,,,,,,14,https://pmc.ncbi.nlm.nih.gov/articles/PMC5181115/#SM,
perturb_seq,,,GSE90063,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063,scPerturb-CRISPR,,txt,F,K562,,,,,26k,,,,,,,,,,10,https://pmc.ncbi.nlm.nih.gov/articles/PMC5181115/#SM,
perturb_seq,,,GSE133344,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344,scPerturb-CRISPR,,txt,F,K562,,,,,110k,,,,,,,,,,287,https://pmc.ncbi.nlm.nih.gov/articles/PMC6746554/#S8,
perturb_seq,,,GSE193736,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193736,scPerturb-OverCITE/scTCR/scADT,,txt,F,T,,,,,,,,,,,,,,,42,https://pmc.ncbi.nlm.nih.gov/articles/PMC9908437/,
perturb_seq,,,GSE306429,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306429,scPerturb/scADT,,h5ad/txt,F,A549/A375/H1AE/HEK293T/HEP2G/PC3/CD8/CD34/PAD/HBEC,,,,,1260K,,,,,,,,,,104,https://www.science.org/doi/10.1126/science.adi8577,
perturb_seq,,,Xatlas,https://huggingface.co/datasets/Xaira-Therapeutics/X-Atlas-Orion,scPerturb,,custom,F,HCT116/HEK293T,,,,,8000k,,,,,,,,,,20000,https://www.biorxiv.org/content/10.1101/2025.06.11.659105v1.full,
pub,,,gtex,https://www.gtexportal.org/home/downloads/adult-gtex/overview,bulkRNA,,gct,F,none,multi,,,,,,none,none,pre,none,none,none,F,,,https://www.gtexportal.org/home/downloads/adult-gtex/bulk_tissue_expression,
pub,,,gtex,https://www.gtexportal.org/home/downloads/adult-gtex/overview,snRNA,,h5ad,F,immune,multi,,,,,,none,none,pre,none,none,none,F,,,https://www.gtexportal.org/home/downloads/adult-gtex/bulk_tissue_expression,
pub,,,tcga,https://xenabrowser.net/datapages/?cohort=TCGA%20Pan-Cancer%20(PANCAN)&removeHub=https%3A%2F%2Fxena.treehouse.gi.ucsc.edu%3A443,bulkRNA,,txt,T,none,multi,tumor/adj,tumor,10000,,,none,chemo,pre,none,pfs/os,none,F,,,https://xenabrowser.net/datapages/?cohort=TCGA%20Pan-Cancer%20(PANCAN)&removeHub=https%3A%2F%2Fxena.treehouse.gi.ucsc.edu%3A443,
pub,,,icga,https://xenabrowser.net/datapages/?cohort=ICGC%20(donor%20centric)&removeHub=https%3A%2F%2Fxena.treehouse.gi.ucsc.edu%3A443,bulkRNA,,txt,T,none,multi,tumor,tumor,8000,,,none,chemo,pre,none,os,none,F,,,https://xenabrowser.net/datapages/?cohort=ICGC%20(donor%20centric)&removeHub=https%3A%2F%2Fxena.treehouse.gi.ucsc.edu%3A443,
